S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
617,Deal curry,Uninext Solutions Pvt Ltd,2015,Uninext Solutions Pvt Ltd. offers an app that allows users to create style profile and connect with their own personal fashion stylist. The company offers its app through Google Play. ,Technology,Software & Computer Services,Social_Platforms,,B2C,App for creating profile and connect with fashion stylist,,,Delhi,,Angel investment,Connect People for Sharing Media and Files,,,,,,3, Pallav Modi, Amit Kejriwal, Vinayak Khanijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Deal curry,Unspun,2013,"Unspun Consulting Group provides research-led marketing services to start-ups. The company builds brands through design and storytelling. It develops go-to-market strategies and plans, enables clients to generate more leads through its in-house proprietary tools, and helps clients to strengthen the current foothold and take business to the next level.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Marketing services for start ups,,,Bengaluru,Karnataka,Angel investment,Business Support Services,,,,,,1,Som Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Deal curry,Urban Online Services Private Limited,2012,"Urban Online Services Pvt. Ltd. owns and operates an online portal for planning and booking event venues and banquets. The company offers BookEventz.com, a party venue and banquet booking platform with venues ranging from restaurants, lounges to resorts, hotels, party plots, and caterers. Its portal helps users to pick venues for board meetings, training, conferences, and cocktail parties, and special occasions, such as wedding, reception, bachelor party, birthday party, etc. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Booking - event venues and banquets,,,Mumbai,Maharashtra,Angel investment,Booking,,,,,,2,Shriti Chhajed,Harsh Vardhan Singh Surendra Baid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Deal curry,Urjas Energy Solutions Private Limited,2012,"Urjas Energy Solutions Pvt Ltd. builds agro and plastic waste to clean energy technologies in India. The company offers multi-fuel gasifiers that work with various agro wastes to generate producer gas. Its products include thermal gasifiers, electric gasifiers, and plastic pyrolysers.",Industrials,Industrial goods and services,Clean_Tech,,B2B, Builds agro and plastic waste to clean energy ,,,Mumbai,Maharashtra,Angel investment,Eco-friendly ,,,,,,1,Pradeepkumar Podal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Deal curry,Vesaan Technologies Private Limited,2015,Vesaan Technologies Private Limited offers a mobile application that enables users to make a hyperlocal discovery in their neighbourhood and show their nearest possible results with map listing of healthcare and wellness services. It focuses on connecting users with healthcare and wellness service providers. ,Healthcare,Healthcare,Health_Tech,,B2C,Connects users and healthcare service providers,,,Bengaluru,Karnataka,Angel investment,Telemedicine and Online health care platforms,,,,,,1,Sreevalsan Menon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Deal curry,Vestido E Tailoring Services Private Limited,2015,"Vestido eTailoring Services Private Limited provides online tailoring services for women. It offers free pick-up and delivery services, dress material stitching services, and provides customizable designs for blouses, kurtas, suits, and bottoms. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Online taliloring services,,,Bengaluru,Karnataka,Angel investment,Specialized Consumer Services,,,,,,3,Vasudevan Thrikkazhippurath, Lavanya Venkatraman ,Ashish Singhal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Deal curry,VH Education Private Limited,2012,"VH Education Pvt Ltd. provides a platform for candidates to showcase profiles and discover opportunities through challenges. The company offers Venturesity, a platform for candidates to solve online/offline challenges and showcase their skills in the real world. ",Consumer_services,Retail,Edu_Tech,,B2C,Showcases the candidates their skils through challenges,,,Bengaluru,Karnataka,Angel investment,Social platforms for Educational sector,,,,,,2,Subhendu Panigrahi,Prashant Koriala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Deal curry,Vidgyor Media Technologies Private Limited,2014,"Vidgyor Media Technologies Pvt. Ltd. provides a video-ad platform for online live TV. Its platform is used to monetize online live TV streams using targeted video ads during original broadcast TV breaks, monetize live TV streams on web and mobile applications, monetize live TV streams on Youtube, and create live OTT channels on cloud using mobile 4G.",Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Online live TV shows,,,Bengaluru,Karnataka,Angel investment,Broadcasting,,,,,,2,Mahaboob Khan,Parth Desai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Deal curry,Vonken Technologies Private Limited,2015,Vonken Technologies Private Limited owns and operates an online logistic platform. The company uses technology to aggregate light commercial vehicles to provide goods transfer service to people and retailers,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Online logistic platform,delivery of goods to people,,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,3,Amit Mishra,Vaibhav Gupta,Amit Bansal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Deal curry,Voodoo Technologies Private Limited,2015,"Voodoo Technologies Private Limited develops and operates a mobile application for tagging information on Internet retail portals. The company's application offer tagging discount offers on shopping, transport hiring, and fashion portals and also lists coupons and deals available. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Provides information about retail portals,coupons and deals,,new delhi,,Angel investment,Coupons and Deals,,,,,,2,Mohit  Mittal ,Vijay Simha Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Deal curry,Wealth Tree Advisors Private Limited,,WealthTree Advisors Private Limited provides CFO and finance effectiveness services to clients across industry verticals and size. ,Financials,Financial services,Fin_Tech_and_Payments,,B2B,Provides CFO and financial services,,,Mumbai,Maharashtra,Angel investment,Corporate financial services,,,,,,2, Venkataraman,Deepak Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Deal curry,White Owl Brewery Private Limited,2011,White Owl Brewery Private Limited owns and operates a brewery. ,Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Manufactures beers,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,1,Javed Murad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Deal curry,WhiteCross Health Initiatives Private Limited,2010,"WhiteCross Health Initiatives Pvt Ltd. operates private clinics providing customized primary care directly to patients at work, home, and school. It offers annual plans that cover couple, family, senior citizen, diabetes, hypertension, and obesity.",Healthcare,Healthcare,Health_Tech,,B2C,Private clinic providing customised service,,,Bengaluru,Karnataka,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,1, Ramesh Karmegam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Deal curry,Whitekoala Technology Private Limited,2015,"Whitekoala Technology Private Limited designs and develops application software. The Company offers solutions for shipping, delivery tracking, logistic supports, and other services. Whitekoala Technology conducts its business in India.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Develops softwares for business,,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,3,Saurya Prakash, Ashutosh Banerjee, Tushar Bisht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Deal curry,WickedRide Adventures Services Private Limited,2014,"We rent out Harley Davidson, Triumph and Royal Enfield motorcycles. We have urban commute solution from our subsidiary Metro Bikes which solves the first and last mile commute from public transportation hubs. Commuters can pick a bike from one hub and drop it across any other hub.",Consumer_services,Retail,Internet_marketplace_and_eCommerce,,B2C,Rental - motorcycle,,,Bengaluru,Karnataka,Angel investment,Borrow and rent goods and products,,,,,,3,Vivekananda Hallekere,Varun Agni,Anil G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Deal curry,Wishup Technology Private Limited,2015,Wishup Technology Private Limited develops and provides a communication platform for establishing connections between users and vendors. Its platform enables users of Wishup Services to submit requests that Wishup’s third party contractors/vendors or service providers will endeavor to fulfil in a timely manner.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Communication platform,Connects customers and vendors,,Delhi,,Angel investment,Communication services,,,,,,2,Vivek Gupta,Neelesh Rangwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Deal curry,Wits Solutions Private Limited,2013,"We are specialized in developing user friendly Mobile Application, Digital Marketing, Custom Software Development, Product Engineering, QA/Testing & Website Development. We focused on Building Engaging Mobile Applications on Android, iOS, Windows, Blackberry & Tizen OS. Also, we specialize in providing End to End Digital Marketing Services & Software Development ",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Digital marketing services and software developments,website development,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,2,Rabi Kumar,Suraj Kumar Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Deal curry,Wow Momo Foods Private Limited,2008,"Wow! Momo Foods Pvt. Ltd. owns and operates take-away as well as dine-in restaurant outlets. It has its outlets in Kolkata, Bengaluru, Pune, Chennai, Kochi, and Delhi, India. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2B,Restaurants,,,Kolkata,West Bengal,Angel investment,Hotels & Restaurants,,,,,,2,Sagar Daryani,Binod Homagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Deal curry,Yellow Brick Road Digital Marketing Private Limited,2014,"Yellow Brick Road Digital Marketing Private Limited develops and operates LafaLafa, an online coupon and cashback selling, and product search Website and mobile application for online shopping in India. It offers cashback, coupons, and discounts on various product categories that include recharge and bill payments, mobiles, tablets, computers, electronics and cameras, clothing and fashion, shoes, jewelry, watches and accessories, books, movies and music etc.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Offers coupons and disounts,,,Gurgaon,Haryana,Angel investment,Coupons and Deals,,,,,,1,Yosha Gupta ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Deal curry,Youngmonk Technologies Private Limited,2014,YoungMonk Technologies Pvt. Ltd. operates an Internet enabled electronic platform that facilitates communication for the purposes of advertising and distributing information of pre-owned cars.,Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2B,Platfor for advertising pre owned  car,,,Bengaluru,Karnataka,Angel investment,Advertising,,,,,,1,Himsangshu hazarika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Deal curry,Zakoopi Infotech Private Limited,2013,Zakoopi Infotech Pvt Ltd. operates a platform to discover local fashion. Its platform enables users to find fashion stores and list stores on its platform.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Fashion store,,,Delhi,,Angel investment,Fashion,,,,,,2,Samik Sarkar,Shashank Agnihotri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Deal curry,ZapForce Technologies Private Limited,2015,"ZapForce Technologies Private Limited, doing business as Zapluk, operates as an on-demand beauty and wellness service provider. The Company offers grooming, waxing, hair styling and color, make up, facial, massage, and fitness services for men and women. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Beauty and wellness service provider,,,Hyderabad,Andhra Pradesh,Angel investment,Specialized Consumer Services,,,,,,2,Manan Maheshwari ,Mahesh Teja Gogineni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Deal curry,Zapstitch Technologies Private Limited,2015,ZapStitch Technologies Private Limited designs and develops internet applications. The Company offers data automation applications for online stores.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Designs internet application for online stores,,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,1,Satya P Devarakonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Deal curry,Zapyle,2015,"Zapyle is a new social shopping experience by offering women a simple way to monetize her closet. Through our app we aim to buy and sell fashion. A fashion item is always related to a date, a trip, a birthday, a mood, an occasion, or a conversation with a friend. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Fashion store,,,Bengaluru,Karnataka,Angel investment,Fashion,,,,,,1,Rashi Menda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Deal curry,Zenatix Solutions Private Limited,2013,"Zenatix Solutions Pvt. Ltd. designs and develops Internet of Things based energy monitoring and control products. It offers WattMan that provides automated control, energy and temperature monitoring, benchmarking across outlets, and automated anomaly detection solutions for retail and BFSI facilities.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Apps for energy monitoring and control products,,,Gurgaon,Haryana,Angel investment,Internet and software development,,,,,,3,Rahul Bhalla,Vishal Bansal ,Amarjeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Deal curry,Zibew E-commerce Services Private Limited,2013,"Zibew E-Commerce Services Pvt. Ltd. engages in the online retail of prescriptive and non-prescriptive medicines, and surgical and medical products. It provides medical and health products, fitness and sports products, senior citizens and physically challenged products, ENT/eye/dental care products, body care products, medical gadgets, baby and mother care products, contraceptives/intimate care products, vitamin and diet supplements, and ayurvedic and homeopathy products, as well as household, food, pet products. ",Healthcare,Healthcare,Health_Tech,,B2C,Pharmacy,,,Hyderabad,Andhra Pradesh,Angel investment,Pharmacy & Medical Supplies,,,,,,1,Mohammed Abubakr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Deal curry,Zippr Private Limited,2013,"Zippr is a central location management service that allows users to pinpoint exact locations anywhere on the earth, create a short code (Zippr) and easily share them with friends/vendors eliminating low-value conversations around addresses/directions.",Technology,Software & Computer Services,Others,,B2C,App to pinpoint the location for the people ,,,Hyderabad,Andhra Pradesh,Angel investment,,,,,,,1,Aditya Vuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Deal curry,Zobtree Ventures Private Limited,2013,Zobtree Ventures Private Limited operates an online hiring platform. The company hires candidates in the areas of product management and software engineering.,Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Emplyoment agency,,,new delhi,,Angel investment,Business Training & Employment Agencies,,,,,,1, Mayank Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Deal curry,Zone8 Tea World Private Limited,2012,Zone8 Tea World Pvt Ltd. owns and operates a chain of tea cafes in Mumbai.,Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Tea café,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,2,Sanjeev S Potti,Amit Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Deal curry,Zoomot Services Llp,2015,"ZOOMOT Services LLP provides cab sharing services with predefined routes. The company enables an economical cab service to daily travelers in the city. It also offers free rides and cashbacks through its wallet. In addition, the company provides Zoomot CoolShare mobile application that allows travelers to book a seat and know the number of vacant seats in a cab running at regular intervals on pre-defined routes, as well as facilitates travelers to track their cab on real time basis. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Taxi services,,,Mumbai,Maharashtra,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,3,Youmit Sing ,Navneet Kumar ,Randeep Lobana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Deal curry,Zostel Hospitality Private Limited,2013,"Zostel Hospitality Private Limited, doing business as ZO Rooms, operates a chain of hostels for travelers in India. ",Consumer_services,Retail,Real_estate,,B2C,Chain of hostels,,,Jaipur,Rajasthan,Angel investment,"Buy , Rent and Sell Property",,,,,,5,Dharamveerv Chauhan ,Paavan Nanda,Tarun Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Deal curry,Zuci Energy Private Limited,2012,"Zuci Energy Pvt Ltd., a solid waste management company, produces refuse derived fuel (RDF), organic compost, recyclables, and construction sand from municipal solid wastes in India. Its primary product RDF is used as a coal substitute by industrial units consuming coal or biomass for generating power or heat. ",Industrials,Industrial goods and services,Clean_Tech,,B2B,Biomass generation power or fuel,,,Hyderabad,Andhra Pradesh,Angel investment,Biomass and Bio fuels,,,,,,1,Sujeet Govindaraju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
